ATAR Range
99.95 211.60 230.00
99.90 208.16 211.59
99.85 206.35 208.15
99.80 205.09 206.34
99.75 203.82 205.08
99.70 202.15 203.81
99.65 200.99 202.14
99.60 199.80 200.98
99.55 198.80 199.79
99.50 198.02 198.79
99.45 197.21 198.01
99.40 196.56 197.20
99.35 196.11 196.55
99.30 195.62 196.10
99.25 194.97 195.61
99.20 194.48 194.96
99.15 193.85 194.47
99.10 193.25 193.84
99.05 192.66 193.24
99.00 192.07 192.65
98.95 191.38 192.06
98.90 190.82 191.37
98.85 190.50 190.81
98.80 190.15 190.49
98.75 189.65 190.14
98.70 189.18 189.64
98.65 188.71 189.17
98.60 188.24 188.70
98.55 187.81 188.23
98.50 187.35 187.80
98.45 186.89 187.34
98.40 186.59 186.88
98.35 186.17 186.58
ATAR Range
98.30 185.93 186.16
98.25 185.41 185.92
98.20 185.03 185.40
98.15 184.71 185.02
98.10 184.38 184.70
98.05 184.05 184.37
98.00 183.84 184.04
97.95 183.53 183.83
97.90 183.24 183.52
97.85 182.85 183.23
97.80 182.59 182.84
97.75 182.24 182.58
97.70 181.97 182.23
97.65 181.64 181.96
97.60 181.34 181.63
97.55 181.02 181.33
97.50 180.73 181.01
97.45 180.45 180.72
97.40 180.14 180.44
97.35 179.92 180.13
97.30 179.69 179.91
97.25 179.35 179.68
97.20 179.15 179.34
97.15 178.83 179.14
97.10 178.66 178.82
97.05 178.36 178.65
97.00 178.13 178.35
96.95 177.91 178.12
96.90 177.67 177.90
96.85 177.42 177.66
96.80 177.19 177.41
96.75 176.89 177.18
96.70 176.65 176.88
ATAR Range
96.65 176.42 176.64
96.60 176.21 176.41
96.55 175.98 176.20
96.50 175.77 175.97
96.45 175.55 175.76
96.40 175.33 175.54
96.35 175.12 175.32
96.30 174.90 175.11
96.25 174.72 174.89
96.20 174.48 174.71
96.15 174.23 174.47
96.10 174.05 174.22
96.05 173.83 174.04
96.00 173.65 173.82
95.95 173.44 173.64
95.90 173.25 173.43
95.85 172.99 173.24
95.80 172.69 172.98
95.75 172.51 172.68
95.70 172.24 172.50
95.65 172.05 172.23
95.60 171.77 172.04
95.55 171.61 171.76
95.50 171.41 171.60
95.45 171.19 171.40
95.40 171.01 171.18
95.35 170.82 171.00
95.30 170.64 170.81
95.25 170.44 170.63
95.20 170.24 170.43
95.15 170.04 170.23
95.10 169.87 170.03
95.05 169.71 169.86
Victorian Tertiary Admissions Centre
2024 Aggregate to ATAR Table
12 December 2024
Page 2 of 14
ATAR Range
95.00 169.54 169.70
94.95 169.37 169.53
94.90 169.23 169.36
94.85 169.09 169.22
94.80 168.90 169.08
94.75 168.75 168.89
94.70 168.57 168.74
94.65 168.41 168.56
94.60 168.24 168.40
94.55 168.07 168.23
94.50 167.91 168.06
94.45 167.72 167.90
94.40 167.56 167.71
94.35 167.40 167.55
94.30 167.26 167.39
94.25 167.12 167.25
94.20 167.00 167.11
94.15 166.78 166.99
94.10 166.56 166.77
94.05 166.38 166.55
94.00 166.18 166.37
93.95 165.97 166.17
93.90 165.80 165.96
93.85 165.62 165.79
93.80 165.42 165.61
93.75 165.26 165.41
93.70 165.10 165.25
93.65 164.89 165.09
93.60 164.72 164.88
93.55 164.58 164.71
93.50 164.43 164.57
93.45 164.26 164.42
93.40 164.14 164.25
93.35 163.95 164.13
ATAR Range
93.30 163.81 163.94
93.25 163.65 163.80
93.20 163.51 163.64
93.15 163.34 163.50
93.10 163.20 163.33
93.05 163.04 163.19
93.00 162.88 163.03
92.95 162.72 162.87
92.90 162.58 162.71
92.85 162.41 162.57
92.80 162.25 162.40
92.75 162.05 162.24
92.70 161.89 162.04
92.65 161.76 161.88
92.60 161.65 161.75
92.55 161.51 161.64
92.50 161.38 161.50
92.45 161.23 161.37
92.40 161.08 161.22
92.35 160.93 161.07
92.30 160.79 160.92
92.25 160.66 160.78
92.20 160.49 160.65
92.15 160.37 160.48
92.10 160.24 160.36
92.05 160.12 160.23
92.00 159.98 160.11
91.95 159.86 159.97
91.90 159.72 159.85
91.85 159.61 159.71
91.80 159.49 159.60
91.75 159.37 159.48
91.70 159.25 159.36
91.65 159.11 159.24
ATAR Range
91.60 159.00 159.10
91.55 158.87 158.99
91.50 158.74 158.86
91.45 158.60 158.73
91.40 158.45 158.59
91.35 158.31 158.44
91.30 158.16 158.30
91.25 158.04 158.15
91.20 157.94 158.03
91.15 157.80 157.93
91.10 157.68 157.79
91.05 157.56 157.67
91.00 157.43 157.55
90.95 157.29 157.42
90.90 157.14 157.28
90.85 157.02 157.13
90.80 156.89 157.01
90.75 156.77 156.88
