ATAR Range
90.70 156.68 156.76
90.65 156.59 156.67
90.60 156.48 156.58
90.55 156.32 156.47
90.50 156.18 156.31
90.45 156.06 156.17
90.40 155.93 156.05
90.35 155.79 155.92
90.30 155.62 155.78
90.25 155.50 155.61
90.20 155.35 155.49
90.15 155.24 155.34
90.10 155.14 155.23
90.05 155.00 155.13
90.00 154.85 154.99
89.95 154.71 154.84
Victorian Tertiary Admissions Centre
2024 Aggregate to ATAR Table
12 December 2024
Page 3 of 14
ATAR Range
89.90 154.59 154.70
89.85 154.48 154.58
89.80 154.38 154.47
89.75 154.23 154.37
89.70 154.12 154.22
89.65 153.98 154.11
89.60 153.89 153.97
89.55 153.74 153.88
89.50 153.62 153.73
89.45 153.51 153.61
89.40 153.44 153.50
89.35 153.34 153.43
89.30 153.21 153.33
89.25 153.08 153.20
89.20 152.96 153.07
89.15 152.88 152.95
89.10 152.76 152.87
89.05 152.64 152.75
89.00 152.52 152.63
88.95 152.42 152.51
88.90 152.32 152.41
88.85 152.19 152.31
88.80 152.10 152.18
88.75 151.99 152.09
88.70 151.89 151.98
88.65 151.75 151.88
88.60 151.65 151.74
88.55 151.56 151.64
88.50 151.45 151.55
88.45 151.32 151.44
88.40 151.20 151.31
88.35 151.10 151.19
88.30 150.98 151.09
88.25 150.90 150.97
ATAR Range
88.20 150.82 150.89
88.15 150.67 150.81
88.10 150.56 150.66
88.05 150.47 150.55
88.00 150.38 150.46
87.95 150.28 150.37
87.90 150.17 150.27
87.85 150.05 150.16
87.80 149.96 150.04
87.75 149.82 149.95
87.70 149.73 149.81
87.65 149.63 149.72
87.60 149.53 149.62
87.55 149.46 149.52
87.50 149.37 149.45
87.45 149.26 149.36
87.40 149.14 149.25
87.35 149.03 149.13
87.30 148.89 149.02
87.25 148.76 148.88
87.20 148.65 148.75
87.15 148.54 148.64
87.10 148.48 148.53
87.05 148.38 148.47
87.00 148.26 148.37
86.95 148.17 148.25
86.90 148.07 148.16
86.85 147.98 148.06
86.80 147.88 147.97
86.75 147.77 147.87
86.70 147.67 147.76
86.65 147.58 147.66
86.60 147.49 147.57
86.55 147.38 147.48
ATAR Range
86.50 147.31 147.37
86.45 147.21 147.30
86.40 147.12 147.20
86.35 147.05 147.11
86.30 146.94 147.04
86.25 146.86 146.93
86.20 146.77 146.85
86.15 146.66 146.76
86.10 146.54 146.65
86.05 146.44 146.53
86.00 146.34 146.43
85.95 146.23 146.33
85.90 146.15 146.22
85.85 146.04 146.14
85.80 145.96 146.03
85.75 145.89 145.95
85.70 145.80 145.88
85.65 145.69 145.79
85.60 145.58 145.68
85.55 145.48 145.57
85.50 145.38 145.47
85.45 145.28 145.37
85.40 145.19 145.27
85.35 145.11 145.18
85.30 145.02 145.10
85.25 144.93 145.01
85.20 144.86 144.92
85.15 144.81 144.85
85.10 144.70 144.80
85.05 144.59 144.69
85.00 144.51 144.58
84.95 144.42 144.50
84.90 144.31 144.41
84.85 144.20 144.30
Victorian Tertiary Admissions Centre
2024 Aggregate to ATAR Table
12 December 2024
Page 4 of 14
ATAR Range
84.80 144.10 144.19
84.75 143.98 144.09
84.70 143.91 143.97
84.65 143.80 143.90
84.60 143.72 143.79
84.55 143.63 143.71
84.50 143.52 143.62
84.45 143.44 143.51
84.40 143.33 143.43
84.35 143.22 143.32
84.30 143.13 143.21
84.25 143.06 143.12
84.20 142.97 143.05
84.15 142.86 142.96
84.10 142.77 142.85
84.05 142.69 142.76
84.00 142.60 142.68
83.95 142.52 142.59
83.90 142.40 142.51
83.85 142.30 142.39
83.80 142.21 142.29
83.75 142.07 142.20
83.70 141.96 142.06
83.65 141.88 141.95
83.60 141.77 141.87
83.55 141.66 141.76
83.50 141.58 141.65
83.45 141.49 141.57
83.40 141.38 141.48
83.35 141.30 141.37
83.30 141.21 141.29
83.25 141.13 141.20
83.20 141.05 141.12
83.15 140.95 141.04
ATAR Range
83.10 140.85 140.94
83.05 140.75 140.84
83.00 140.65 140.74
82.95 140.56 140.64
82.90 140.44 140.55
82.85 140.36 140.43
82.80 140.27 140.35
82.75 140.20 140.26
82.70 140.13 140.19
82.65 140.06 140.12
82.60 139.98 140.05
82.55 139.91 139.97
82.50 139.83 139.90
82.45 139.76 139.82
82.40 139.66 139.75
82.35 139.60 139.65
82.30 139.52 139.59
82.25 139.42 139.51
82.20 139.33 139.41
82.15 139.24 139.32
82.10 139.15 139.23
82.05 139.06 139.14
82.00 138.99 139.05
81.95 138.92 138.98
81.90 138.84 138.91
81.85 138.76 138.83
81.80 138.70 138.75
81.75 138.61 138.69
81.70 138.53 138.60
81.65 138.43 138.52
81.60 138.33 138.42
81.55 138.25 138.32
81.50 138.15 138.24
81.45 138.07 138.14
ATAR Range
81.40 137.98 138.06
81.35 137.90 137.97
81.30 137.81 137.89
81.25 137.72 137.80
81.20 137.64 137.71
81.15 137.55 137.63
81.10 137.46 137.54
81.05 137.37 137.45
81.00 137.30 137.36
80.95 137.16 137.29
80.90 137.05 137.15
80.85 136.97 137.04
80.80 136.89 136.96
80.75 136.80 136.88
80.70 136.72 136.79
80.65 136.64 136.71
80.60 136.57 136.63
80.55 136.48 136.56
80.50 136.38 136.47
80.45 136.32 136.37
80.40 136.22 136.31
80.35 136.14 136.21
80.30 136.05 136.13
80.25 135.97 136.04
80.20 135.87 135.96
80.15 135.78 135.86
80.10 135.71 135.77
80.05 135.63 135.70
80.00 135.55 135.62
79.95 135.43 135.54
79.90 135.34 135.42
79.85 135.25 135.33
79.80 135.16 135.24
79.75 135.09 135.15
Victorian Tertiary Admissions Centre
2024 Aggregate to ATAR Table
12 December 2024
Page 5 of 14
ATAR Range
79.70 134.99 135.08
79.65 134.91 134.98
79.60 134.84 134.90
79.55 134.73 134.83
79.50 134.65 134.72
79.45 134.56 134.64
79.40 134.48 134.55
79.35 134.40 134.47
79.30 134.33 134.39
79.25 134.24 134.32
79.20 134.17 134.23
79.15 134.09 134.16
79.10 134.01 134.08
79.05 133.92 134.00
79.00 133.83 133.91
78.95 133.77 133.82
78.90 133.69 133.76
78.85 133.61 133.68
78.80 133.54 133.60
78.75 133.43 133.53
78.70 133.34 133.42
78.65 133.24 133.33
78.60 133.18 133.23
78.55 133.09 133.17
78.50 133.01 133.08
78.45 132.91 133.00
78.40 132.85 132.90
78.35 132.76 132.84
78.30 132.68 132.75
78.25 132.59 132.67
78.20 132.52 132.58
78.15 132.44 132.51
78.10 132.37 132.43
78.05 132.27 132.36
ATAR Range
78.00 132.20 132.26
77.95 132.13 132.19
77.90 132.08 132.12
77.85 132.00 132.07
77.80 131.93 131.99
77.75 131.82 131.92
77.70 131.76 131.81
77.65 131.69 131.75
77.60 131.63 131.68
77.55 131.56 131.62
77.50 131.45 131.55
77.45 131.37 131.44
77.40 131.28 131.36
77.35 131.21 131.27
77.30 131.12 131.20
77.25 131.03 131.11
77.20 130.96 131.02
77.15 130.90 130.95
77.10 130.83 130.89
77.05 130.75 130.82
77.00 130.67 130.74
76.95 130.60 130.66
76.90 130.52 130.59
76.85 130.46 130.51
76.80 130.38 130.45
76.75 130.32 130.37
76.70 130.24 130.31
76.65 130.19 130.23
76.60 130.11 130.18
76.55 130.06 130.10
76.50 130.00 130.05
76.45 129.91 129.99
76.40 129.83 129.90
76.35 129.76 129.82
ATAR Range
76.30 129.69 129.75
76.25 129.61 129.68
76.20 129.55 129.60
76.15 129.47 129.54
76.10 129.38 129.46
76.05 129.31 129.37
76.00 129.25 129.30
75.95 129.17 129.24
75.90 129.10 129.16
75.85 129.04 129.09
75.80 128.95 129.03
75.75 128.86 128.94
75.70 128.79 128.85
75.65 128.72 128.78
75.60 128.65 128.71
75.55 128.58 128.64
75.50 128.51 128.57
75.45 128.43 128.50
75.40 128.35 128.42
75.35 128.26 128.34
75.30 128.18 128.25
75.25 128.08 128.17
75.20 127.96 128.07
75.15 127.91 127.95
75.10 127.85 127.90
75.05 127.78 127.84
75.00 127.72 127.77
74.95 127.64 127.71
74.90 127.58 127.63
74.85 127.52 127.57
74.80 127.45 127.51
74.75 127.41 127.44
74.70 127.32 127.40
74.65 127.23 127.31
Victorian Tertiary Admissions Centre
2024 Aggregate to ATAR Table
12 December 2024
Page 6 of 14
ATAR Range
74.60 127.15 127.22
74.55 127.06 127.14
74.50 126.98 127.05
74.45 126.92 126.97
74.40 126.83 126.91
74.35 126.76 126.82
74.30 126.70 126.75
74.25 126.63 126.69
74.20 126.55 126.62
74.15 126.49 126.54
74.10 126.44 126.48
74.05 126.35 126.43
74.00 126.28 126.34
73.95 126.19 126.27
73.90 126.14 126.18
73.85 126.07 126.13
73.80 126.00 126.06
73.75 125.91 125.99
73.70 125.83 125.90
73.65 125.75 125.82
73.60 125.68 125.74
73.55 125.60 125.67
73.50 125.53 125.59
73.45 125.47 125.52
73.40 125.37 125.46
73.35 125.29 125.36
73.30 125.21 125.28
73.25 125.12 125.20
73.20 125.03 125.11
73.15 124.97 125.02
73.10 124.87 124.96
73.05 124.79 124.86
73.00 124.73 124.78
72.95 124.65 124.72
ATAR Range
72.90 124.56 124.64
72.85 124.50 124.55
72.80 124.44 124.49
72.75 124.36 124.43
72.70 124.30 124.35
72.65 124.22 124.29
72.60 124.14 124.21
72.55 124.07 124.13
72.50 124.00 124.06
72.45 123.92 123.99
72.40 123.86 123.91
72.35 123.77 123.85
72.30 123.65 123.76
72.25 123.58 123.64
72.20 123.51 123.57
72.15 123.45 123.50
72.10 123.40 123.44
72.05 123.33 123.39
72.00 123.25 123.32
71.95 123.20 123.24
71.90 123.12 123.19
71.85 123.06 123.11
71.80 122.98 123.05
71.75 122.89 122.97
71.70 122.81 122.88
71.65 122.75 122.80
71.60 122.68 122.74
71.55 122.60 122.67
71.50 122.52 122.59
71.45 122.45 122.51
71.40 122.37 122.44
71.35 122.32 122.36
71.30 122.25 122.31
71.25 122.16 122.24
ATAR Range
71.20 122.08 122.15
71.15 122.01 122.07
71.10 121.94 122.00
71.05 121.86 121.93
71.00 121.80 121.85
70.95 121.74 121.79
70.90 121.67 121.73
70.85 121.58 121.66
70.80 121.53 121.57
70.75 121.46 121.52
70.70 121.39 121.45
70.65 121.31 121.38
70.60 121.23 121.30
70.55 121.17 121.22
70.50 121.10 121.16
70.45 121.03 121.09
70.40 120.95 121.02
70.35 120.87 120.94
70.30 120.80 120.86
70.25 120.71 120.79
70.20 120.62 120.70
70.15 120.55 120.61
70.10 120.50 120.54
70.05 120.43 120.49
70.00 120.37 120.42
69.95 120.28 120.36
69.90 120.22 120.27
69.85 120.13 120.21
69.80 120.05 120.12
69.75 119.98 120.04
69.70 119.92 119.97
69.65 119.85 119.91
69.60 119.78 119.84
69.55 119.72 119.77
Victorian Tertiary Admissions Centre
2024 Aggregate to ATAR Table
12 December 2024
Page 7 of 14
ATAR Range
69.50 119.65 119.71
69.45 119.58 119.64
69.40 119.51 119.57
69.35 119.43 119.50
69.30 119.36 119.42
69.25 119.31 119.35
69.20 119.24 119.30
69.15 119.18 119.23
69.10 119.12 119.17
69.05 119.05 119.11
69.00 118.97 119.04
68.95 118.89 118.96
68.90 118.82 118.88
68.85 118.73 118.81
68.80 118.65 118.72
68.75 118.58 118.64
68.70 118.53 118.57
68.65 118.45 118.52
68.60 118.38 118.44
68.55 118.31 118.37
68.50 118.25 118.30
68.45 118.17 118.24
68.40 118.11 118.16
68.35 118.03 118.10
68.30 117.97 118.02
68.25 117.89 117.96
68.20 117.84 117.88
68.15 117.76 117.83
68.10 117.69 117.75
68.05 117.65 117.68
68.00 117.59 117.64
67.95 117.52 117.58
67.90 117.45 117.51
67.85 117.38 117.44
ATAR Range
67.80 117.31 117.37
67.75 117.25 117.30
67.70 117.18 117.24
67.65 117.10 117.17
67.60 117.04 117.09
67.55 116.96 117.03
67.50 116.91 116.95
67.45 116.84 116.90
67.40 116.77 116.83
67.35 116.71 116.76
67.30 116.64 116.70
67.25 116.57 116.63
67.20 116.51 116.56
67.15 116.45 116.50
67.10 116.37 116.44
67.05 116.29 116.36
67.00 116.23 116.28
66.95 116.17 116.22
66.90 116.09 116.16
66.85 116.03 116.08
66.80 115.99 116.02
66.75 115.93 115.98
66.70 115.86 115.92
66.65 115.79 115.85
66.60 115.72 115.78
66.55 115.63 115.71
66.50 115.57 115.62
66.45 115.51 115.56
66.40 115.45 115.50
66.35 115.37 115.44
66.30 115.31 115.36
66.25 115.25 115.30
66.20 115.18 115.24
66.15 115.12 115.17
ATAR Range
66.10 115.04 115.11
66.05 114.98 115.03
66.00 114.90 114.97
65.95 114.80 114.89
65.90 114.74 114.79
65.85 114.66 114.73
65.80 114.62 114.65
65.75 114.53 114.61
65.70 114.47 114.52
65.65 114.38 114.46
65.60 114.29 114.37
65.55 114.22 114.28
65.50 114.16 114.21
65.45 114.08 114.15
65.40 114.02 114.07
65.35 113.96 114.01
65.30 113.90 113.95
65.25 113.83 113.89
65.20 113.75 113.82
65.15 113.66 113.74
65.10 113.59 113.65
65.05 113.53 113.58
65.00 113.43 113.52
64.95 113.36 113.42
64.90 113.29 113.35
64.85 113.23 113.28
64.80 113.16 113.22
64.75 113.09 113.15
64.70 113.02 113.08
64.65 112.96 113.01
64.60 112.90 112.95
64.55 112.80 112.89
64.50 112.72 112.79
64.45 112.65 112.71
Victorian Tertiary Admissions Centre
2024 Aggregate to ATAR Table
12 December 2024
Page 8 of 14
ATAR Range
64.40 112.59 112.64
64.35 112.53 112.58
64.30 112.47 112.52
64.25 112.40 112.46
64.20 112.33 112.39
64.15 112.27 112.32
64.10 112.19 112.26
64.05 112.13 112.18
64.00 112.08 112.12
63.95 112.03 112.07
63.90 111.98 112.02
63.85 111.93 111.97
63.80 111.88 111.92
63.75 111.81 111.87
63.70 111.74 111.80
63.65 111.67 111.73
63.60 111.60 111.66
63.55 111.54 111.59
63.50 111.47 111.53
63.45 111.42 111.46
63.40 111.37 111.41
63.35 111.31 111.36
63.30 111.25 111.30
63.25 111.19 111.24
63.20 111.12 111.18
63.15 111.07 111.11
63.10 111.01 111.06
63.05 110.95 111.00
63.00 110.89 110.94
62.95 110.82 110.88
62.90 110.77 110.81
62.85 110.71 110.76
62.80 110.63 110.70
62.75 110.57 110.62
ATAR Range
62.70 110.52 110.56
62.65 110.46 110.51
62.60 110.40 110.45
62.55 110.33 110.39
62.50 110.25 110.32
62.45 110.19 110.24
62.40 110.13 110.18
62.35 110.07 110.12
62.30 109.99 110.06
62.25 109.93 109.98
62.20 109.88 109.92
62.15 109.81 109.87
62.10 109.74 109.80
62.05 109.69 109.73
62.00 109.61 109.68
61.95 109.55 109.60
61.90 109.50 109.54
61.85 109.44 109.49
61.80 109.37 109.43
61.75 109.30 109.36
61.70 109.23 109.29
61.65 109.17 109.22
61.60 109.09 109.16
61.55 109.03 109.08
61.50 108.97 109.02
61.45 108.89 108.96
61.40 108.81 108.88
61.35 108.76 108.80
61.30 108.66 108.75
61.25 108.60 108.65
61.20 108.54 108.59
61.15 108.48 108.53
61.10 108.40 108.47
61.05 108.34 108.39
ATAR Range
61.00 108.28 108.33
60.95 108.18 108.27
60.90 108.12 108.17
60.85 108.05 108.11
60.80 107.98 108.04
60.75 107.88 107.97
60.70 107.81 107.87
60.65 107.73 107.80
60.60 107.67 107.72
60.55 107.60 107.66
60.50 107.52 107.59
60.45 107.43 107.51
60.40 107.37 107.42
60.35 107.31 107.36
60.30 107.26 107.30
60.25 107.17 107.25
60.20 107.12 107.16
60.15 107.07 107.11
60.10 107.00 107.06
60.05 106.95 106.99
60.00 106.90 106.94
59.95 106.83 106.89
59.90 106.75 106.82
59.85 106.69 106.74
59.80 106.63 106.68
59.75 106.56 106.62
59.70 106.48 106.55
59.65 106.43 106.47
59.60 106.37 106.42
59.55 106.31 106.36
59.50 106.26 106.30
59.45 106.18 106.25
59.40 106.11 106.17
59.35 106.05 106.10
Victorian Tertiary Admissions Centre
2024 Aggregate to ATAR Table
12 December 2024
Page 9 of 14
ATAR Range
59.30 105.98 106.04
59.25 105.89 105.97
59.20 105.82 105.88
59.15 105.75 105.81
59.10 105.70 105.74
59.05 105.62 105.69
59.00 105.58 105.61
58.95 105.52 105.57
58.90 105.47 105.51
58.85 105.39 105.46
58.80 105.33 105.38
58.75 105.27 105.32
58.70 105.20 105.26
58.65 105.14 105.19
58.60 105.08 105.13
58.55 105.00 105.07
58.50 104.93 104.99
58.45 104.83 104.92
58.40 104.75 104.82
58.35 104.69 104.74
58.30 104.64 104.68
58.25 104.58 104.63
58.20 104.50 104.57
58.15 104.42 104.49
58.10 104.37 104.41
58.05 104.33 104.36
58.00 104.27 104.32
57.95 104.23 104.26
57.90 104.17 104.22
57.85 104.11 104.16
57.80 104.03 104.10
57.75 103.97 104.02
57.70 103.91 103.96
57.65 103.85 103.90
ATAR Range
57.60 103.78 103.84
57.55 103.72 103.77
57.50 103.66 103.71
57.45 103.57 103.65
57.40 103.50 103.56
57.35 103.45 103.49
57.30 103.38 103.44
57.25 103.31 103.37
57.20 103.25 103.30
57.15 103.17 103.24
57.10 103.11 103.16
57.05 103.05 103.10
57.00 102.98 103.04
56.95 102.91 102.97
56.90 102.86 102.90
56.85 102.81 102.85
56.80 102.75 102.80
56.75 102.68 102.74
56.70 102.62 102.67
56.65 102.56 102.61
56.60 102.46 102.55
56.55 102.41 102.45
56.50 102.32 102.40
56.45 102.26 102.31
56.40 102.18 102.25
56.35 102.11 102.17
56.30 102.05 102.10
56.25 101.99 102.04
56.20 101.93 101.98
56.15 101.86 101.92
56.10 101.80 101.85
56.05 101.74 101.79
56.00 101.68 101.73
55.95 101.60 101.67
ATAR Range
55.90 101.53 101.59
55.85 101.46 101.52
55.80 101.41 101.45
55.75 101.34 101.40
55.70 101.27 101.33
55.65 101.19 101.26
55.60 101.12 101.18
55.55 101.06 101.11
55.50 101.01 101.05
55.45 100.92 101.00
55.40 100.85 100.91
55.35 100.78 100.84
55.30 100.72 100.77
55.25 100.67 100.71
55.20 100.61 100.66
55.15 100.53 100.60
55.10 100.45 100.52
55.05 100.38 100.44
55.00 100.30 100.37
54.95 100.25 100.29
54.90 100.18 100.24
54.85 100.10 100.17
54.80 100.03 100.09
54.75 99.97 100.02
54.70 99.92 99.96
54.65 99.85 99.91
54.60 99.80 99.84
54.55 99.73 99.79
54.50 99.67 99.72
54.45 99.61 99.66
54.40 99.57 99.60
54.35 99.51 99.56
54.30 99.43 99.50
54.25 99.36 99.42
Victorian Tertiary Admissions Centre
2024 Aggregate to ATAR Table
12 December 2024
Page 10 of 14
ATAR Range
54.20 99.27 99.35
54.15 99.19 99.26
54.10 99.13 99.18
54.05 99.08 99.12
54.00 99.02 99.07
53.95 98.95 99.01
53.90 98.87 98.94
53.85 98.82 98.86
53.80 98.76 98.81
53.75 98.70 98.75
53.70 98.64 98.69
53.65 98.56 98.63
53.60 98.50 98.55
53.55 98.43 98.49
53.50 98.38 98.42
53.45 98.29 98.37
53.40 98.20 98.28
53.35 98.13 98.19
53.30 98.07 98.12
53.25 97.99 98.06
53.20 97.92 97.98
53.15 97.85 97.91
53.10 97.77 97.84
53.05 97.70 97.76
53.00 97.64 97.69
52.95 97.59 97.63
52.90 97.54 97.58
52.85 97.48 97.53
52.80 97.43 97.47
52.75 97.35 97.42
52.70 97.29 97.34
52.65 97.22 97.28
52.60 97.17 97.21
52.55 97.09 97.16
ATAR Range
52.50 97.00 97.08
52.45 96.92 96.99
52.40 96.85 96.91
52.35 96.78 96.84
52.30 96.71 96.77
52.25 96.63 96.70
52.20 96.55 96.62
52.15 96.51 96.54
52.10 96.45 96.50
52.05 96.38 96.44
52.00 96.30 96.37
51.95 96.22 96.29
51.90 96.15 96.21
51.85 96.09 96.14
51.80 96.02 96.08
51.75 95.94 96.01
51.70 95.88 95.93
51.65 95.81 95.87
51.60 95.75 95.80
51.55 95.69 95.74
51.50 95.61 95.68
51.45 95.56 95.60
51.40 95.51 95.55
51.35 95.43 95.50
51.30 95.34 95.42
51.25 95.27 95.33
51.20 95.19 95.26
51.15 95.13 95.18
51.10 95.08 95.12
51.05 95.01 95.07
51.00 94.95 95.00
50.95 94.88 94.94
50.90 94.80 94.87
50.85 94.74 94.79
ATAR Range
50.80 94.66 94.73
50.75 94.60 94.65
50.70 94.56 94.59
50.65 94.49 94.55
50.60 94.41 94.48
50.55 94.35 94.40
50.50 94.28 94.34
50.45 94.22 94.27
50.40 94.16 94.21
50.35 94.09 94.15
50.30 94.02 94.08
50.25 93.94 94.01
50.20 93.90 93.93
50.15 93.85 93.89
50.10 93.78 93.84
50.05 93.71 93.77
50.00 93.66 93.70
49.95 93.62 93.65
49.90 93.55 93.61
49.85 93.50 93.54
49.80 93.44 93.49
49.75 93.38 93.43
49.70 93.32 93.37
49.65 93.23 93.31
49.60 93.16 93.22
49.55 93.10 93.15
49.50 93.05 93.09
49.45 92.98 93.04
49.40 92.92 92.97
49.35 92.80 92.91
49.30 92.72 92.79
49.25 92.66 92.71
49.20 92.61 92.65
49.15 92.56 92.60
Victorian Tertiary Admissions Centre
2024 Aggregate to ATAR Table
12 December 2024
Page 11 of 14
ATAR Range
49.10 92.50 92.55
49.05 92.42 92.49
49.00 92.35 92.41
48.95 92.28 92.34
48.90 92.20 92.27
48.85 92.14 92.19
48.80 92.07 92.13
48.75 92.01 92.06
48.70 91.94 92.00
48.65 91.88 91.93
48.60 91.81 91.87
48.55 91.73 91.80
48.50 91.65 91.72
48.45 91.56 91.64
48.40 91.45 91.55
48.35 91.38 91.44
48.30 91.33 91.37
48.25 91.29 91.32
48.20 91.23 91.28
48.15 91.17 91.22
48.10 91.10 91.16
48.05 91.04 91.09
48.00 90.97 91.03
47.95 90.89 90.96
47.90 90.82 90.88
47.85 90.74 90.81
47.80 90.67 90.73
47.75 90.62 90.66
47.70 90.55 90.61
47.65 90.47 90.54
47.60 90.38 90.46
47.55 90.32 90.37
47.50 90.25 90.31
47.45 90.19 90.24
ATAR Range
47.40 90.13 90.18
47.35 90.04 90.12
47.30 89.96 90.03
47.25 89.92 89.95
47.20 89.83 89.91
47.15 89.75 89.82
47.10 89.66 89.74
47.05 89.58 89.65
47.00 89.51 89.57
46.95 89.46 89.50
46.90 89.40 89.45
46.85 89.32 89.39
46.80 89.27 89.31
46.75 89.21 89.26
46.70 89.16 89.20
46.65 89.09 89.15
46.60 89.02 89.08
46.55 88.94 89.01
46.50 88.90 88.93
46.45 88.82 88.89
46.40 88.74 88.81
46.35 88.68 88.73
46.30 88.59 88.67
46.25 88.53 88.58
46.20 88.45 88.52
46.15 88.37 88.44
46.10 88.30 88.36
46.05 88.22 88.29
46.00 88.15 88.21
45.95 88.10 88.14
45.90 88.04 88.09
45.85 87.98 88.03
45.80 87.92 87.97
45.75 87.87 87.91
ATAR Range
45.70 87.80 87.86
45.65 87.73 87.79
45.60 87.63 87.72
45.55 87.55 87.62
45.50 87.45 87.54
45.45 87.41 87.44
45.40 87.34 87.40
45.35 87.28 87.33
45.30 87.22 87.27
45.25 87.14 87.21
45.20 87.06 87.13
45.15 86.98 87.05
45.10 86.92 86.97
45.05 86.85 86.91
45.00 86.80 86.84
44.95 86.71 86.79
44.90 86.67 86.70
44.85 86.59 86.66
44.80 86.52 86.58
44.75 86.45 86.51
