ATAR Range
42.75 84.27 84.33
42.70 84.21 84.26
42.65 84.17 84.20
42.60 84.09 84.16
42.55 84.02 84.08
42.50 83.94 84.01
42.45 83.83 83.93
42.40 83.78 83.82
42.35 83.70 83.77
ATAR Range
42.30 83.63 83.69
42.25 83.57 83.62
42.20 83.49 83.56
42.15 83.43 83.48
42.10 83.35 83.42
42.05 83.30 83.34
42.00 83.22 83.29
41.95 83.14 83.21
41.90 83.07 83.13
41.85 83.00 83.06
41.80 82.95 82.99
41.75 82.88 82.94
41.70 82.82 82.87
41.65 82.75 82.81
41.60 82.68 82.74
41.55 82.60 82.67
41.50 82.54 82.59
41.45 82.51 82.53
41.40 82.41 82.50
41.35 82.34 82.40
41.30 82.29 82.33
41.25 82.24 82.28
41.20 82.18 82.23
41.15 82.12 82.17
41.10 82.05 82.11
41.05 81.98 82.04
41.00 81.91 81.97
40.95 81.85 81.90
40.90 81.75 81.84
40.85 81.65 81.74
40.80 81.58 81.64
40.75 81.49 81.57
40.70 81.42 81.48
40.65 81.35 81.41
ATAR Range
40.60 81.30 81.34
40.55 81.26 81.29
40.50 81.21 81.25
40.45 81.15 81.20
40.40 81.08 81.14
40.35 81.00 81.07
40.30 80.91 80.99
40.25 80.85 80.90
40.20 80.80 80.84
40.15 80.72 80.79
40.10 80.66 80.71
40.05 80.60 80.65
40.00 80.53 80.59
39.95 80.41 80.52
39.90 80.32 80.40
39.85 80.26 80.31
39.80 80.20 80.25
39.75 80.15 80.19
39.70 80.08 80.14
39.65 79.99 80.07
39.60 79.95 79.98
39.55 79.84 79.94
39.50 79.76 79.83
39.45 79.68 79.75
39.40 79.58 79.67
39.35 79.52 79.57
39.30 79.45 79.51
39.25 79.36 79.44
39.20 79.30 79.35
39.15 79.22 79.29
39.10 79.14 79.21
39.05 79.09 79.13
39.00 79.00 79.08
38.95 78.89 78.99 
ATAR Range
38.90 78.82 78.88
38.85 78.75 78.81
38.80 78.67 78.74
38.75 78.59 78.66
38.70 78.49 78.58
38.65 78.41 78.48
38.60 78.35 78.40
38.55 78.29 78.34
38.50 78.21 78.28
38.45 78.10 78.20
38.40 78.05 78.09
38.35 77.98 78.04
38.30 77.91 77.97
38.25 77.85 77.90
38.20 77.74 77.84
38.15 77.66 77.73
38.10 77.59 77.65
38.05 77.53 77.58
38.00 77.45 77.52
37.95 77.36 77.44
37.90 77.29 77.35
37.85 77.23 77.28
37.80 77.14 77.22
37.75 77.08 77.13
37.70 76.95 77.07
37.65 76.87 76.94
37.60 76.81 76.86
37.55 76.70 76.80
37.50 76.63 76.69
37.45 76.55 76.62
37.40 76.46 76.54
37.35 76.42 76.45
37.30 76.34 76.41
37.25 76.30 76.33
ATAR Range
37.20 76.25 76.29
37.15 76.15 76.24
37.10 76.09 76.14
37.05 76.04 76.08
37.00 75.93 76.03
36.95 75.87 75.92
36.90 75.79 75.86
36.85 75.69 75.78
36.80 75.62 75.68
36.75 75.55 75.61
36.70 75.46 75.54
36.65 75.41 75.45
36.60 75.33 75.40
36.55 75.28 75.32
36.50 75.23 75.27
36.45 75.12 75.22
36.40 75.03 75.11
36.35 74.95 75.02
36.30 74.88 74.94
36.25 74.78 74.87
36.20 74.73 74.77
36.15 74.66 74.72
36.10 74.60 74.65
36.05 74.52 74.59
36.00 74.45 74.51
35.95 74.37 74.44
35.90 74.32 74.36
35.85 74.24 74.31
35.80 74.14 74.23
35.75 74.06 74.13
35.70 74.00 74.05
35.65 73.93 73.99
35.60 73.84 73.92
35.55 73.80 73.83
ATAR Range
35.50 73.75 73.79
35.45 73.69 73.74
35.40 73.64 73.68
35.35 73.58 73.63
35.30 73.51 73.57
35.25 73.44 73.50
35.20 73.39 73.43
35.15 73.31 73.38
35.10 73.23 73.30
35.05 73.16 73.22
35.00 73.09 73.15
34.95 73.02 73.08
34.90 72.93 73.01
34.85 72.85 72.92
34.80 72.78 72.84
34.75 72.71 72.77
34.70 72.62 72.70
34.65 72.56 72.61
34.60 72.52 72.55
34.55 72.47 72.51
34.50 72.41 72.46
34.45 72.33 72.40
34.40 72.25 72.32
34.35 72.15 72.24
34.30 72.05 72.14
34.25 71.96 72.04
34.20 71.91 71.95
34.15 71.85 71.90
34.10 71.80 71.84
34.05 71.76 71.79
34.00 71.70 71.75
33.95 71.60 71.69
33.90 71.55 71.59
33.85 71.49 71.54
ATAR Range
33.80 71.39 71.48
33.75 71.34 71.38
33.70 71.29 71.33
33.65 71.22 71.28
33.60 71.15 71.21
33.55 71.08 71.14
33.50 70.99 71.07
33.45 70.91 70.98
33.40 70.85 70.90
33.35 70.75 70.84
33.30 70.61 70.74
33.25 70.54 70.60
33.20 70.41 70.53
33.15 70.35 70.40
33.10 70.29 70.34
33.05 70.20 70.28
33.00 70.15 70.19
32.95 70.09 70.14
32.90 70.04 70.08
32.85 69.97 70.03
32.80 69.88 69.96
32.75 69.80 69.87
32.70 69.74 69.79
32.65 69.69 69.73
32.60 69.64 69.68
32.55 69.52 69.63
ATAR Range
32.50 69.45 69.51
32.45 69.40 69.44
32.40 69.34 69.39
32.35 69.31 69.33
32.30 69.23 69.30
32.25 69.15 69.22
32.20 69.08 69.14
32.15 68.97 69.07
32.10 68.92 68.96
32.05 68.88 68.91
32.00 68.77 68.87
31.95 68.69 68.76
31.90 68.63 68.68
31.85 68.59 68.62
31.80 68.52 68.58
31.75 68.44 68.51
31.70 68.32 68.43
31.65 68.28 68.31
31.60 68.24 68.27
31.55 68.17 68.23
31.50 68.11 68.16
31.45 68.07 68.10
31.40 68.01 68.06
31.35 67.97 68.00
31.30 67.91 67.96
31.25 67.83 67.90
ATAR Range
31.20 67.73 67.82
31.15 67.68 67.72
31.10 67.62 67.67
31.05 67.53 67.61
31.00 67.44 67.52
30.95 67.32 67.43
30.90 67.28 67.31
30.85 67.23 67.27
30.80 67.18 67.22
30.75 67.12 67.17
30.70 67.06 67.11
30.65 66.95 67.05
30.60 66.82 66.94
30.55 66.75 66.81
30.50 66.69 66.74
30.45 66.64 66.68
30.40 66.58 66.63
30.35 66.51 66.57
30.30 66.41 66.50
30.25 66.34 66.40
30.20 66.25 66.33
30.15 66.15 66.24
30.10 66.10 66.14
30.05 65.99 66.09
30.00 65.93 65.98
< 30 0.00 65.92
