ATAR Range
86.85 148.02 148.13
86.80 147.93 148.01
86.75 147.83 147.92
86.70 147.76 147.82
86.65 147.64 147.75
86.60 147.55 147.63
86.55 147.47 147.54
ATAR Range
86.50 147.37 147.46
86.45 147.28 147.36
86.40 147.18 147.27
86.35 147.08 147.17
86.30 146.97 147.07
86.25 146.87 146.96
86.20 146.77 146.86
86.15 146.67 146.76
86.10 146.59 146.66
86.05 146.47 146.58
86.00 146.36 146.46
85.95 146.26 146.35
85.90 146.18 146.25
85.85 146.07 146.17
85.80 145.99 146.06
85.75 145.88 145.98
85.70 145.76 145.87
85.65 145.66 145.75
85.60 145.58 145.65
85.55 145.48 145.57
85.50 145.37 145.47
85.45 145.28 145.36
85.40 145.20 145.27
85.35 145.09 145.19
85.30 144.99 145.08
85.25 144.91 144.98
85.20 144.80 144.90
85.15 144.71 144.79
85.10 144.61 144.70
85.05 144.53 144.60
85.00 144.45 144.52
84.95 144.35 144.44
84.90 144.24 144.34
84.85 144.12 144.23 
ATAR Range
84.80 144.02 144.11
84.75 143.93 144.01
84.70 143.81 143.92
84.65 143.73 143.80
84.60 143.60 143.72
84.55 143.53 143.59
84.50 143.43 143.52
84.45 143.34 143.42
84.40 143.28 143.33
84.35 143.18 143.27
84.30 143.08 143.17
84.25 142.98 143.07
84.20 142.88 142.97
84.15 142.77 142.87
84.10 142.67 142.76
84.05 142.60 142.66
84.00 142.52 142.59
83.95 142.41 142.51
83.90 142.33 142.40
83.85 142.24 142.32
83.80 142.10 142.23
83.75 142.03 142.09
83.70 141.92 142.02
83.65 141.82 141.91
83.60 141.72 141.81
83.55 141.65 141.71
83.50 141.57 141.64
83.45 141.51 141.56
83.40 141.43 141.50
83.35 141.36 141.42
83.30 141.26 141.35
83.25 141.18 141.25
83.20 141.07 141.17
83.15 140.98 141.06
ATAR Range
83.10 140.90 140.97
83.05 140.81 140.89
83.00 140.73 140.80
82.95 140.62 140.72
82.90 140.53 140.61
82.85 140.45 140.52
82.80 140.35 140.44
82.75 140.28 140.34
82.70 140.21 140.27
82.65 140.11 140.20
82.60 140.01 140.10
82.55 139.93 140.00
82.50 139.85 139.92
82.45 139.75 139.84
82.40 139.66 139.74
82.35 139.58 139.65
82.30 139.49 139.57
82.25 139.38 139.48
82.20 139.29 139.37
82.15 139.22 139.28
82.10 139.14 139.21
82.05 139.07 139.13
82.00 139.00 139.06
81.95 138.94 138.99
81.90 138.84 138.93
81.85 138.75 138.83
81.80 138.67 138.74
81.75 138.59 138.66
81.70 138.52 138.58
81.65 138.44 138.51
81.60 138.35 138.43
81.55 138.27 138.34
81.50 138.17 138.26
81.45 138.09 138.16
ATAR Range
81.40 137.99 138.08
81.35 137.91 137.98
81.30 137.84 137.90
81.25 137.74 137.83
81.20 137.66 137.73
81.15 137.58 137.65
81.10 137.51 137.57
81.05 137.43 137.50
81.00 137.35 137.42
80.95 137.28 137.34
80.90 137.19 137.27
80.85 137.11 137.18
80.80 137.00 137.10
80.75 136.92 136.99
80.70 136.85 136.91
80.65 136.78 136.84
80.60 136.70 136.77
80.55 136.62 136.69
80.50 136.55 136.61
80.45 136.47 136.54
80.40 136.39 136.46
80.35 136.32 136.38
80.30 136.22 136.31
80.25 136.12 136.21
80.20 136.03 136.11
80.15 135.95 136.02
80.10 135.86 135.94
80.05 135.78 135.85
80.00 135.65 135.77
79.95 135.56 135.64
79.90 135.49 135.55
79.85 135.40 135.48
79.80 135.30 135.39
79.75 135.20 135.29
ATAR Range
79.70 135.10 135.19
79.65 135.03 135.09
79.60 134.96 135.02
79.55 134.85 134.95
79.50 134.75 134.84
79.45 134.67 134.74
79.40 134.60 134.66
79.35 134.51 134.59
79.30 134.43 134.50
79.25 134.35 134.42
79.20 134.24 134.34
79.15 134.16 134.23
79.10 134.10 134.15
79.05 133.96 134.09
79.00 133.86 133.95
78.95 133.76 133.85
78.90 133.70 133.75
78.85 133.62 133.69
78.80 133.54 133.61
78.75 133.45 133.53
78.70 133.37 133.44
78.65 133.29 133.36
78.60 133.21 133.28
78.55 133.15 133.20
78.50 133.04 133.14
78.45 132.97 133.03
78.40 132.89 132.96
78.35 132.77 132.88
78.30 132.69 132.76
78.25 132.60 132.68
78.20 132.52 132.59
78.15 132.44 132.51
78.10 132.36 132.43
78.05 132.30 132.35
ATAR Range
78.00 132.22 132.29
77.95 132.14 132.21
77.90 132.06 132.13
77.85 131.95 132.05
77.80 131.87 131.94
77.75 131.80 131.86
77.70 131.73 131.79
77.65 131.65 131.72
77.60 131.55 131.64
77.55 131.46 131.54
77.50 131.40 131.45
77.45 131.32 131.39
77.40 131.23 131.31
77.35 131.15 131.22
77.30 131.05 131.14
77.25 130.98 131.04
77.20 130.90 130.97
77.15 130.84 130.89
77.10 130.78 130.83
77.05 130.71 130.77
77.00 130.64 130.70
76.95 130.55 130.63
76.90 130.47 130.54
76.85 130.40 130.46
76.80 130.33 130.39
76.75 130.27 130.32
76.70 130.20 130.26
76.65 130.12 130.19
76.60 130.05 130.11
76.55 129.97 130.04
76.50 129.91 129.96
76.45 129.83 129.90
76.40 129.74 129.82
76.35 129.67 129.73
ATAR Range
76.30 129.57 129.66
76.25 129.50 129.56
76.20 129.44 129.49
76.15 129.36 129.43
76.10 129.31 129.35
76.05 129.25 129.30
76.00 129.18 129.24
75.95 129.11 129.17
75.90 129.02 129.10
75.85 128.93 129.01
75.80 128.86 128.92
75.75 128.78 128.85
75.70 128.72 128.77
75.65 128.66 128.71
75.60 128.58 128.65
75.55 128.50 128.57
75.50 128.41 128.49
75.45 128.34 128.40
75.40 128.27 128.33
75.35 128.19 128.26
75.30 128.12 128.18
75.25 128.04 128.11
75.20 127.98 128.03
75.15 127.90 127.97
75.10 127.83 127.89
75.05 127.76 127.82
75.00 127.68 127.75
74.95 127.60 127.67
74.90 127.53 127.59
74.85 127.44 127.52
74.80 127.36 127.43
74.75 127.29 127.35
74.70 127.22 127.28
74.65 127.16 127.21
ATAR Range
74.60 127.07 127.15
74.55 126.99 127.06
74.50 126.92 126.98
74.45 126.86 126.91
74.40 126.79 126.85
74.35 126.72 126.78
74.30 126.66 126.71
74.25 126.58 126.65
74.20 126.50 126.57
74.15 126.43 126.49
74.10 126.34 126.42
74.05 126.28 126.33
74.00 126.21 126.27
73.95 126.13 126.20
73.90 126.03 126.12
73.85 125.97 126.02
73.80 125.89 125.96
73.75 125.81 125.88
73.70 125.74 125.80
73.65 125.66 125.73
73.60 125.56 125.65
73.55 125.51 125.55
73.50 125.44 125.50
73.45 125.39 125.43
73.40 125.31 125.38
73.35 125.23 125.30
73.30 125.14 125.22
73.25 125.06 125.13
73.20 124.98 125.05
73.15 124.91 124.97
73.10 124.83 124.90
73.05 124.77 124.82
73.00 124.70 124.76
72.95 124.63 124.69
ATAR Range
72.90 124.56 124.62
72.85 124.49 124.55
72.80 124.41 124.48
72.75 124.33 124.40
72.70 124.25 124.32
72.65 124.20 124.24
72.60 124.12 124.19
72.55 124.06 124.11
72.50 123.99 124.05
72.45 123.92 123.98
72.40 123.83 123.91
72.35 123.76 123.82
72.30 123.70 123.75
72.25 123.63 123.69
72.20 123.54 123.62
72.15 123.47 123.53
72.10 123.39 123.46
72.05 123.34 123.38
72.00 123.27 123.33
71.95 123.19 123.26
71.90 123.12 123.18
71.85 123.04 123.11
71.80 122.98 123.03
71.75 122.91 122.97
71.70 122.85 122.90
71.65 122.77 122.84
71.60 122.69 122.76
71.55 122.64 122.68
71.50 122.58 122.63
71.45 122.52 122.57
71.40 122.45 122.51
71.35 122.37 122.44
71.30 122.30 122.36
71.25 122.24 122.29
ATAR Range
71.20 122.17 122.23
71.15 122.09 122.16
71.10 122.02 122.08
71.05 121.96 122.01
71.00 121.90 121.95
70.95 121.84 121.89
70.90 121.77 121.83
70.85 121.70 121.76
70.80 121.62 121.69
70.75 121.54 121.61
70.70 121.46 121.53
70.65 121.38 121.45
70.60 121.28 121.37
70.55 121.22 121.27
70.50 121.14 121.21
70.45 121.07 121.13
70.40 121.00 121.06
70.35 120.94 120.99
70.30 120.83 120.93
70.25 120.78 120.82
70.20 120.69 120.77
70.15 120.61 120.68
70.10 120.54 120.60
70.05 120.48 120.53
70.00 120.42 120.47
69.95 120.34 120.41
69.90 120.28 120.33
69.85 120.21 120.27
69.80 120.15 120.20
69.75 120.08 120.14
69.70 120.01 120.07
69.65 119.96 120.00
69.60 119.88 119.95
69.55 119.82 119.87 
ATAR Range
69.50 119.75 119.81
69.45 119.68 119.74
