ATAR Range
99.95 210.04 218.99
99.90 207.39 210.03
99.85 205.19 207.38
99.80 203.76 205.18
99.75 202.59 203.75
99.70 201.52 202.58
99.65 200.69 201.51
99.60 199.71 200.68
99.55 198.55 199.70
99.50 197.98 198.54
99.45 197.29 197.97
99.40 196.55 197.28
99.35 196.12 196.54
99.30 195.38 196.11
99.25 194.79 195.37
99.20 194.03 194.78
99.15 193.47 194.02
99.10 192.93 193.46
99.05 192.40 192.92
99.00 191.95 192.39
98.95 191.52 191.94
98.90 191.00 191.51
98.85 190.41 190.99
98.80 190.01 190.40
98.75 189.56 190.00
98.70 189.17 189.55
98.65 188.70 189.16
98.60 188.25 188.69
98.55 187.84 188.24
98.50 187.48 187.83
98.45 187.14 187.47
98.40 186.77 187.13
ATAR Range
98.35 186.45 186.76
98.30 186.13 186.44
98.25 185.74 186.12
98.20 185.37 185.73
98.15 185.01 185.36
98.10 184.65 185.00
98.05 184.27 184.64
98.00 184.04 184.26
97.95 183.76 184.03
97.90 183.43 183.75
97.85 183.11 183.42
97.80 182.84 183.10
97.75 182.57 182.83
97.70 182.26 182.56
97.65 181.99 182.25
97.60 181.75 181.98
97.55 181.47 181.74
97.50 181.15 181.46
97.45 180.90 181.14
97.40 180.60 180.89
97.35 180.32 180.59
97.30 180.04 180.31
97.25 179.79 180.03
97.20 179.55 179.78
97.15 179.29 179.54
97.10 179.07 179.28
97.05 178.83 179.06
97.00 178.58 178.82
96.95 178.33 178.57
96.90 178.09 178.32
96.85 177.83 178.08
96.80 177.60 177.82
ATAR Range
96.75 177.34 177.59
96.70 177.11 177.33
96.65 176.87 177.10
96.60 176.61 176.86
96.55 176.40 176.60
96.50 176.19 176.39
96.45 175.97 176.18
96.40 175.78 175.96
96.35 175.57 175.77
96.30 175.35 175.56
96.25 175.18 175.34
96.20 174.99 175.17
96.15 174.73 174.98
96.10 174.53 174.72
96.05 174.35 174.52
96.00 174.14 174.34
95.95 173.97 174.13
95.90 173.79 173.96
95.85 173.58 173.78
95.80 173.37 173.57
95.75 173.11 173.36
95.70 172.91 173.10
95.65 172.76 172.90
95.60 172.61 172.75
95.55 172.45 172.60
95.50 172.25 172.44
95.45 172.08 172.24
95.40 171.94 172.07
95.35 171.75 171.93
95.30 171.57 171.74
95.25 171.40 171.56
95.20 171.26 171.39
Victorian Tertiary Admissions Centre
2019 Aggregate to ATAR Table
12 December 2019
Page 2 of 14
ATAR Range
95.15 171.12 171.25
95.10 170.95 171.11
95.05 170.82 170.94
95.00 170.65 170.81
94.95 170.46 170.64
94.90 170.31 170.45
94.85 170.11 170.30
94.80 169.94 170.10
94.75 169.78 169.93
94.70 169.62 169.77
94.65 169.44 169.61
94.60 169.28 169.43
94.55 169.07 169.27
94.50 168.91 169.06
94.45 168.71 168.90
94.40 168.55 168.70
94.35 168.41 168.54
94.30 168.23 168.40
94.25 168.13 168.22
94.20 167.99 168.12
94.15 167.85 167.98
94.10 167.73 167.84
94.05 167.57 167.72
94.00 167.40 167.56
93.95 167.25 167.39
93.90 167.09 167.24
93.85 166.92 167.08
93.80 166.74 166.91
93.75 166.56 166.73
93.70 166.43 166.55
93.65 166.29 166.42
93.60 166.15 166.28
93.55 166.02 166.14
93.50 165.86 166.01
ATAR Range
93.45 165.73 165.85
93.40 165.55 165.72
93.35 165.39 165.54
93.30 165.27 165.38
93.25 165.15 165.26
93.20 164.99 165.14
93.15 164.85 164.98
93.10 164.70 164.84
93.05 164.54 164.69
93.00 164.41 164.53
92.95 164.26 164.40
92.90 164.12 164.25
92.85 163.96 164.11
92.80 163.79 163.95
92.75 163.65 163.78
92.70 163.51 163.64
92.65 163.39 163.50
92.60 163.28 163.38
92.55 163.15 163.27
92.50 163.01 163.14
92.45 162.91 163.00
92.40 162.78 162.90
92.35 162.62 162.77
92.30 162.47 162.61
92.25 162.31 162.46
92.20 162.17 162.30
92.15 162.04 162.16
92.10 161.92 162.03
92.05 161.79 161.91
92.00 161.67 161.78
91.95 161.54 161.66
91.90 161.36 161.53
91.85 161.26 161.35
91.80 161.15 161.25
ATAR Range
91.75 161.01 161.14
91.70 160.90 161.00
91.65 160.75 160.89
91.60 160.60 160.74
91.55 160.49 160.59
91.50 160.37 160.48
91.45 160.27 160.36
91.40 160.15 160.26
91.35 160.06 160.14
91.30 159.95 160.05
91.25 159.83 159.94
91.20 159.73 159.82
91.15 159.62 159.72
91.10 159.51 159.61
91.05 159.36 159.50
91.00 159.24 159.35
90.95 159.11 159.23
90.90 158.99 159.10
90.85 158.86 158.98
90.80 158.76 158.85
90.75 158.60 158.75
90.70 158.51 158.59
90.65 158.39 158.50
90.60 158.26 158.38
90.55 158.11 158.25
90.50 157.98 158.10
90.45 157.89 157.97
90.40 157.75 157.88
90.35 157.60 157.74
90.30 157.51 157.59
90.25 157.40 157.50
90.20 157.29 157.39
90.15 157.16 157.28
90.10 157.08 157.15
Victorian Tertiary Admissions Centre
2019 Aggregate to ATAR Table
12 December 2019
Page 3 of 14
ATAR Range
90.05 156.92 157.07
90.00 156.80 156.91
89.95 156.70 156.79
89.90 156.60 156.69
89.85 156.45 156.59
89.80 156.32 156.44
89.75 156.22 156.31
89.70 156.11 156.21
89.65 156.02 156.10
89.60 155.92 156.01
89.55 155.81 155.91
89.50 155.69 155.80
89.45 155.61 155.68
89.40 155.50 155.60
89.35 155.36 155.49
89.30 155.24 155.35
89.25 155.11 155.23
89.20 155.01 155.10
89.15 154.89 155.00
89.10 154.80 154.88
89.05 154.69 154.79
89.00 154.60 154.68
88.95 154.52 154.59
88.90 154.39 154.51
88.85 154.29 154.38
88.80 154.18 154.28
88.75 154.04 154.17
88.70 153.95 154.03
88.65 153.82 153.94
88.60 153.71 153.81
88.55 153.61 153.70
88.50 153.53 153.60
88.45 153.43 153.52
88.40 153.30 153.42
ATAR Range
88.35 153.21 153.29
88.30 153.08 153.20
88.25 152.96 153.07
88.20 152.83 152.95
88.15 152.72 152.82
88.10 152.60 152.71
88.05 152.48 152.59
88.00 152.35 152.47
87.95 152.27 152.34
87.90 152.18 152.26
87.85 152.05 152.17
87.80 151.94 152.04
87.75 151.84 151.93
87.70 151.74 151.83
87.65 151.65 151.73
87.60 151.56 151.64
87.55 151.46 151.55
87.50 151.34 151.45
87.45 151.24 151.33
87.40 151.11 151.23
87.35 151.03 151.10
87.30 150.93 151.02
87.25 150.84 150.92
87.20 150.76 150.83
87.15 150.67 150.75
87.10 150.56 150.66
87.05 150.45 150.55
87.00 150.35 150.44
86.95 150.23 150.34
86.90 150.14 150.22
86.85 150.04 150.13
86.80 149.97 150.03
86.75 149.86 149.96
86.70 149.76 149.85
ATAR Range
86.65 149.66 149.75
86.60 149.58 149.65
86.55 149.48 149.57
86.50 149.37 149.47
86.45 149.28 149.36
86.40 149.17 149.27
86.35 149.06 149.16
86.30 148.97 149.05
86.25 148.87 148.96
86.20 148.78 148.86
86.15 148.67 148.77
86.10 148.59 148.66
86.05 148.47 148.58
86.00 148.38 148.46
85.95 148.27 148.37
85.90 148.17 148.26
85.85 148.10 148.16
85.80 147.98 148.09
85.75 147.88 147.97
85.70 147.75 147.87
85.65 147.64 147.74
85.60 147.54 147.63
85.55 147.43 147.53
85.50 147.34 147.42
85.45 147.24 147.33
85.40 147.15 147.23
85.35 147.06 147.14
85.30 146.96 147.05
85.25 146.85 146.95
85.20 146.74 146.84
85.15 146.67 146.73
85.10 146.58 146.66
85.05 146.47 146.57
85.00 146.38 146.46
Victorian Tertiary Admissions Centre
2019 Aggregate to ATAR Table
12 December 2019
Page 4 of 14
ATAR Range
84.95 146.28 146.37
84.90 146.20 146.27
84.85 146.11 146.19
84.80 146.03 146.10
84.75 145.95 146.02
84.70 145.85 145.94
84.65 145.77 145.84
84.60 145.66 145.76
84.55 145.56 145.65
84.50 145.46 145.55
84.45 145.34 145.45
84.40 145.24 145.33
84.35 145.14 145.23
84.30 145.05 145.13
84.25 144.94 145.04
84.20 144.82 144.93
84.15 144.75 144.81
84.10 144.65 144.74
84.05 144.55 144.64
84.00 144.46 144.54
83.95 144.37 144.45
83.90 144.28 144.36
83.85 144.19 144.27
83.80 144.08 144.18
83.75 144.01 144.07
83.70 143.91 144.00
83.65 143.82 143.90
83.60 143.75 143.81
83.55 143.64 143.74
83.50 143.57 143.63
83.45 143.50 143.56
83.40 143.41 143.49
83.35 143.34 143.40
83.30 143.26 143.33
ATAR Range
83.25 143.18 143.25
83.20 143.12 143.17
83.15 143.05 143.11
83.10 142.97 143.04
83.05 142.88 142.96
83.00 142.80 142.87
82.95 142.72 142.79
82.90 142.62 142.71
82.85 142.54 142.61
82.80 142.45 142.53
82.75 142.38 142.44
82.70 142.31 142.37
82.65 142.24 142.30
82.60 142.18 142.23
82.55 142.06 142.17
82.50 142.01 142.05
82.45 141.93 142.00
82.40 141.85 141.92
82.35 141.74 141.84
82.30 141.66 141.73
82.25 141.56 141.65
82.20 141.48 141.55
82.15 141.40 141.47
82.10 141.33 141.39
82.05 141.25 141.32
82.00 141.17 141.24
81.95 141.08 141.16
81.90 140.99 141.07
81.85 140.92 140.98
81.80 140.83 140.91
81.75 140.77 140.82
81.70 140.70 140.76
81.65 140.59 140.69
81.60 140.52 140.58
ATAR Range
81.55 140.45 140.51
81.50 140.36 140.44
81.45 140.27 140.35
81.40 140.17 140.26
81.35 140.09 140.16
81.30 140.00 140.08
81.25 139.92 139.99
81.20 139.85 139.91
81.15 139.74 139.84
81.10 139.66 139.73
81.05 139.57 139.65
81.00 139.49 139.56
80.95 139.41 139.48
80.90 139.34 139.40
80.85 139.25 139.33
80.80 139.16 139.24
80.75 139.09 139.15
80.70 139.00 139.08
80.65 138.91 138.99
80.60 138.82 138.90
80.55 138.70 138.81
80.50 138.62 138.69
80.45 138.52 138.61
80.40 138.44 138.51
80.35 138.37 138.43
80.30 138.31 138.36
80.25 138.23 138.30
80.20 138.15 138.22
80.15 138.07 138.14
80.10 137.99 138.06
80.05 137.90 137.98
80.00 137.83 137.89
79.95 137.75 137.82
79.90 137.68 137.74
Victorian Tertiary Admissions Centre
2019 Aggregate to ATAR Table
12 December 2019
Page 5 of 14
ATAR Range
79.85 137.60 137.67
79.80 137.51 137.59
79.75 137.43 137.50
79.70 137.34 137.42
79.65 137.27 137.33
79.60 137.20 137.26
79.55 137.13 137.19
79.50 137.04 137.12
79.45 136.98 137.03
79.40 136.90 136.97
79.35 136.83 136.89
79.30 136.73 136.82
79.25 136.65 136.72
79.20 136.57 136.64
79.15 136.50 136.56
79.10 136.43 136.49
79.05 136.35 136.42
79.00 136.27 136.34
78.95 136.19 136.26
78.90 136.11 136.18
78.85 136.06 136.10
78.80 135.97 136.05
78.75 135.90 135.96
78.70 135.83 135.89
78.65 135.75 135.82
78.60 135.70 135.74
78.55 135.64 135.69
78.50 135.56 135.63
78.45 135.49 135.55
78.40 135.41 135.48
78.35 135.34 135.40
78.30 135.27 135.33
78.25 135.19 135.26
78.20 135.13 135.18
ATAR Range
78.15 135.04 135.12
78.10 134.97 135.03
78.05 134.91 134.96
78.00 134.84 134.90
77.95 134.77 134.83
77.90 134.67 134.76
77.85 134.61 134.66
77.80 134.54 134.60
77.75 134.45 134.53
77.70 134.38 134.44
77.65 134.32 134.37
77.60 134.22 134.31
77.55 134.15 134.21
77.50 134.09 134.14
77.45 134.01 134.08
77.40 133.93 134.00
77.35 133.88 133.92
77.30 133.79 133.87
77.25 133.72 133.78
77.20 133.65 133.71
77.15 133.57 133.64
77.10 133.50 133.56
77.05 133.42 133.49
77.00 133.33 133.41
76.95 133.25 133.32
76.90 133.16 133.24
76.85 133.10 133.15
76.80 133.01 133.09
76.75 132.94 133.00
76.70 132.86 132.93
76.65 132.79 132.85
76.60 132.73 132.78
76.55 132.63 132.72
76.50 132.57 132.62
ATAR Range
