ATAR Range
76.45 132.49 132.56
76.40 132.42 132.48
76.35 132.33 132.41
76.30 132.24 132.32
76.25 132.18 132.23
76.20 132.10 132.17
76.15 132.04 132.09
76.10 131.95 132.03
76.05 131.88 131.94
76.00 131.79 131.87
75.95 131.72 131.78
75.90 131.63 131.71
75.85 131.56 131.62
75.80 131.49 131.55
75.75 131.41 131.48
75.70 131.35 131.40
75.65 131.27 131.34
75.60 131.19 131.26
75.55 131.14 131.18
75.50 131.07 131.13
75.45 130.99 131.06
75.40 130.93 130.98
75.35 130.88 130.92
75.30 130.82 130.87
75.25 130.76 130.81
75.20 130.66 130.75
75.15 130.58 130.65
75.10 130.51 130.57
75.05 130.43 130.50
75.00 130.36 130.42
74.95 130.26 130.35
74.90 130.16 130.25
74.85 130.10 130.15
74.80 130.03 130.09
Victorian Tertiary Admissions Centre
2019 Aggregate to ATAR Table
12 December 2019
Page 6 of 14
ATAR Range
74.75 129.94 130.02
74.70 129.86 129.93
74.65 129.80 129.85
74.60 129.74 129.79
74.55 129.66 129.73
74.50 129.59 129.65
74.45 129.52 129.58
74.40 129.44 129.51
74.35 129.36 129.43
74.30 129.29 129.35
74.25 129.22 129.28
74.20 129.15 129.21
74.15 129.07 129.14
74.10 129.01 129.06
74.05 128.95 129.00
74.00 128.89 128.94
73.95 128.84 128.88
73.90 128.78 128.83
73.85 128.71 128.77
73.80 128.61 128.70
73.75 128.54 128.60
73.70 128.47 128.53
73.65 128.41 128.46
73.60 128.33 128.40
73.55 128.27 128.32
73.50 128.21 128.26
73.45 128.15 128.20
73.40 128.06 128.14
73.35 128.00 128.05
73.30 127.93 127.99
73.25 127.86 127.92
73.20 127.77 127.85
73.15 127.68 127.76
73.10 127.61 127.67
ATAR Range
73.05 127.55 127.60
73.00 127.49 127.54
72.95 127.43 127.48
72.90 127.35 127.42
72.85 127.28 127.34
72.80 127.20 127.27
72.75 127.16 127.19
72.70 127.09 127.15
72.65 127.00 127.08
72.60 126.93 126.99
72.55 126.84 126.92
72.50 126.75 126.83
72.45 126.69 126.74
72.40 126.62 126.68
72.35 126.54 126.61
72.30 126.49 126.53
72.25 126.43 126.48
72.20 126.37 126.42
72.15 126.29 126.36
72.10 126.23 126.28
72.05 126.16 126.22
72.00 126.07 126.15
71.95 126.00 126.06
71.90 125.92 125.99
71.85 125.84 125.91
71.80 125.78 125.83
71.75 125.70 125.77
71.70 125.62 125.69
71.65 125.55 125.61
71.60 125.46 125.54
71.55 125.40 125.45
71.50 125.33 125.39
71.45 125.27 125.32
71.40 125.21 125.26
ATAR Range
71.35 125.16 125.20
71.30 125.08 125.15
71.25 125.03 125.07
71.20 124.94 125.02
71.15 124.88 124.93
71.10 124.80 124.87
71.05 124.75 124.79
71.00 124.69 124.74
70.95 124.62 124.68
70.90 124.56 124.61
70.85 124.49 124.55
70.80 124.43 124.48
70.75 124.38 124.42
70.70 124.32 124.37
70.65 124.26 124.31
70.60 124.21 124.25
70.55 124.14 124.20
70.50 124.05 124.13
70.45 123.99 124.04
70.40 123.91 123.98
70.35 123.86 123.90
70.30 123.81 123.85
70.25 123.73 123.80
70.20 123.64 123.72
70.15 123.58 123.63
70.10 123.50 123.57
70.05 123.44 123.49
70.00 123.38 123.43
69.95 123.32 123.37
69.90 123.26 123.31
69.85 123.16 123.25
69.80 123.09 123.15
69.75 123.04 123.08
69.70 122.97 123.03
Victorian Tertiary Admissions Centre
2019 Aggregate to ATAR Table
12 December 2019
Page 7 of 14
ATAR Range
69.65 122.88 122.96
69.60 122.81 122.87
69.55 122.77 122.80
69.50 122.69 122.76
69.45 122.62 122.68
69.40 122.55 122.61
69.35 122.48 122.54
69.30 122.41 122.47
69.25 122.35 122.40
69.20 122.27 122.34
69.15 122.21 122.26
69.10 122.11 122.20
69.05 122.05 122.10
69.00 122.00 122.04
68.95 121.94 121.99
68.90 121.85 121.93
68.85 121.79 121.84
68.80 121.71 121.78
68.75 121.66 121.70
68.70 121.58 121.65
68.65 121.51 121.57
68.60 121.44 121.50
68.55 121.36 121.43
68.50 121.29 121.35
68.45 121.24 121.28
68.40 121.20 121.23
68.35 121.15 121.19
68.30 121.07 121.14
68.25 121.00 121.06
68.20 120.93 120.99
68.15 120.86 120.92
68.10 120.78 120.85
68.05 120.72 120.77
68.00 120.62 120.71
ATAR Range
67.95 120.56 120.61
67.90 120.48 120.55
67.85 120.42 120.47
67.80 120.34 120.41
67.75 120.25 120.33
67.70 120.18 120.24
67.65 120.12 120.17
67.60 120.02 120.11
67.55 119.95 120.01
67.50 119.88 119.94
67.45 119.82 119.87
67.40 119.75 119.81
67.35 119.70 119.74
67.30 119.64 119.69
67.25 119.58 119.63
67.20 119.51 119.57
67.15 119.45 119.50
67.10 119.39 119.44
67.05 119.32 119.38
67.00 119.26 119.31
66.95 119.19 119.25
66.90 119.13 119.18
66.85 119.07 119.12
66.80 119.01 119.06
66.75 118.94 119.00
66.70 118.90 118.93
66.65 118.83 118.89
66.60 118.77 118.82
66.55 118.70 118.76
66.50 118.65 118.69
66.45 118.56 118.64
66.40 118.50 118.55
66.35 118.40 118.49
66.30 118.34 118.39
ATAR Range
66.25 118.26 118.33
66.20 118.20 118.25
66.15 118.13 118.19
66.10 118.07 118.12
66.05 118.01 118.06
66.00 117.95 118.00
65.95 117.88 117.94
65.90 117.82 117.87
65.85 117.74 117.81
65.80 117.65 117.73
65.75 117.60 117.64
65.70 117.54 117.59
65.65 117.50 117.53
65.60 117.42 117.49
65.55 117.35 117.41
65.50 117.29 117.34
65.45 117.21 117.28
65.40 117.14 117.20
65.35 117.09 117.13
65.30 117.02 117.08
65.25 116.97 117.01
65.20 116.89 116.96
65.15 116.81 116.88
65.10 116.75 116.80
65.05 116.70 116.74
65.00 116.64 116.69
64.95 116.59 116.63
64.90 116.52 116.58
64.85 116.45 116.51
64.80 116.40 116.44
64.75 116.35 116.39
64.70 116.29 116.34
64.65 116.23 116.28
64.60 116.18 116.22
Victorian Tertiary Admissions Centre
2019 Aggregate to ATAR Table
12 December 2019
Page 8 of 14
ATAR Range
64.55 116.12 116.17
64.50 116.05 116.11
64.45 116.00 116.04
64.40 115.92 115.99
64.35 115.87 115.91
64.30 115.78 115.86
64.25 115.73 115.77
64.20 115.69 115.72
64.15 115.61 115.68
64.10 115.55 115.60
64.05 115.49 115.54
64.00 115.42 115.48
63.95 115.37 115.41
63.90 115.31 115.36
63.85 115.25 115.30
63.80 115.18 115.24
63.75 115.12 115.17
63.70 115.07 115.11
63.65 115.00 115.06
63.60 114.95 114.99
63.55 114.90 114.94
63.50 114.84 114.89
63.45 114.79 114.83
63.40 114.71 114.78
63.35 114.65 114.70
63.30 114.60 114.64
63.25 114.54 114.59
63.20 114.48 114.53
63.15 114.43 114.47
63.10 114.35 114.42
63.05 114.28 114.34
63.00 114.19 114.27
62.95 114.12 114.18
62.90 114.05 114.11
ATAR Range
62.85 113.99 114.04
62.80 113.93 113.98
62.75 113.86 113.92
62.70 113.81 113.85
62.65 113.75 113.80
62.60 113.70 113.74
62.55 113.63 113.69
62.50 113.57 113.62
62.45 113.50 113.56
62.40 113.44 113.49
62.35 113.37 113.43
62.30 113.31 113.36
62.25 113.25 113.30
62.20 113.19 113.24
62.15 113.14 113.18
62.10 113.08 113.13
62.05 113.02 113.07
62.00 112.94 113.01
61.95 112.88 112.93
61.90 112.83 112.87
61.85 112.77 112.82
61.80 112.68 112.76
61.75 112.62 112.67
61.70 112.53 112.61
61.65 112.46 112.52
61.60 112.40 112.45
61.55 112.33 112.39
61.50 112.28 112.32
61.45 112.23 112.27
61.40 112.16 112.22
61.35 112.10 112.15
61.30 112.02 112.09
61.25 111.93 112.01
61.20 111.86 111.92
ATAR Range
61.15 111.80 111.85
61.10 111.74 111.79
61.05 111.67 111.73
61.00 111.60 111.66
60.95 111.55 111.59
60.90 111.49 111.54
60.85 111.43 111.48
60.80 111.36 111.42
60.75 111.30 111.35
60.70 111.22 111.29
60.65 111.15 111.21
60.60 111.09 111.14
60.55 111.03 111.08
60.50 110.97 111.02
60.45 110.91 110.96
60.40 110.86 110.90
60.35 110.81 110.85
60.30 110.75 110.80
60.25 110.67 110.74
60.20 110.62 110.66
60.15 110.54 110.61
60.10 110.50 110.53
60.05 110.44 110.49
60.00 110.36 110.43
59.95 110.30 110.35
59.90 110.24 110.29
59.85 110.16 110.23
59.80 110.09 110.15
59.75 110.03 110.08
59.70 109.98 110.02
59.65 109.91 109.97
59.60 109.84 109.90
59.55 109.77 109.83
59.50 109.72 109.76
Victorian Tertiary Admissions Centre
2019 Aggregate to ATAR Table
12 December 2019
Page 9 of 14
ATAR Range
59.45 109.67 109.71
59.40 109.61 109.66
59.35 109.53 109.60
59.30 109.49 109.52
59.25 109.41 109.48
59.20 109.36 109.40
59.15 109.30 109.35
59.10 109.23 109.29
59.05 109.17 109.22
59.00 109.10 109.16
58.95 109.04 109.09
58.90 108.96 109.03
58.85 108.86 108.95
58.80 108.78 108.85
58.75 108.73 108.77
58.70 108.67 108.72
58.65 108.61 108.66
58.60 108.55 108.60
58.55 108.48 108.54
58.50 108.39 108.47
58.45 108.32 108.38
58.40 108.26 108.31
58.35 108.20 108.25
58.30 108.13 108.19
58.25 108.06 108.12
58.20 108.00 108.05
58.15 107.94 107.99
58.10 107.87 107.93
58.05 107.80 107.86
58.00 107.74 107.79
57.95 107.69 107.73
57.90 107.62 107.68
57.85 107.56 107.61
57.80 107.49 107.55
ATAR Range
57.75 107.40 107.48
57.70 107.33 107.39
57.65 107.28 107.32
57.60 107.21 107.27
57.55 107.14 107.20
57.50 107.07 107.13
57.45 107.01 107.06
57.40 106.96 107.00
57.35 106.90 106.95
57.30 106.83 106.89
57.25 106.76 106.82
57.20 106.69 106.75
57.15 106.61 106.68
57.10 106.54 106.60
57.05 106.48 106.53
57.00 106.42 106.47
56.95 106.36 106.41
56.90 106.31 106.35
56.85 106.23 106.30
56.80 106.18 106.22
56.75 106.12 106.17
56.70 106.05 106.11
56.65 105.99 106.04
56.60 105.91 105.98
56.55 105.85 105.90
56.50 105.79 105.84
56.45 105.73 105.78
56.40 105.66 105.72
56.35 105.60 105.65
56.30 105.53 105.59
56.25 105.47 105.52
56.20 105.40 105.46
56.15 105.36 105.39
56.10 105.28 105.35
ATAR Range
56.05 105.23 105.27
56.00 105.18 105.22
55.95 105.13 105.17
55.90 105.08 105.12
55.85 105.03 105.07
55.80 104.97 105.02
55.75 104.92 104.96
55.70 104.84 104.91
55.65 104.78 104.83
55.60 104.70 104.77
55.55 104.63 104.69
55.50 104.57 104.62
55.45 104.52 104.56
55.40 104.48 104.51
55.35 104.43 104.47
55.30 104.34 104.42
55.25 104.28 104.33
55.20 104.23 104.27
55.15 104.17 104.22
55.10 104.12 104.16
55.05 104.06 104.11
55.00 103.98 104.05
54.95 103.94 103.97
54.90 103.87 103.93
54.85 103.82 103.86
54.80 103.76 103.81
54.75 103.69 103.75
54.70 103.62 103.68
54.65 103.57 103.61
54.60 103.51 103.56
54.55 103.45 103.50
54.50 103.39 103.44
54.45 103.33 103.38
54.40 103.28 103.32
Victorian Tertiary Admissions Centre
2019 Aggregate to ATAR Table
12 December 2019
Page 10 of 14
ATAR Range
54.35 103.21 103.27
54.30 103.16 103.20
54.25 103.12 103.15
54.20 103.05 103.11
54.15 102.99 103.04
54.10 102.92 102.98
54.05 102.83 102.91
54.00 102.76 102.82
53.95 102.72 102.75
53.90 102.66 102.71
53.85 102.59 102.65
53.80 102.53 102.58
53.75 102.48 102.52
53.70 102.42 102.47
53.65 102.36 102.41
53.60 102.30 102.35
53.55 102.23 102.29
53.50 102.18 102.22
53.45 102.11 102.17
53.40 102.06 102.10
53.35 102.00 102.05
53.30 101.93 101.99
53.25 101.87 101.92
53.20 101.79 101.86
53.15 101.73 101.78
53.10 101.68 101.72
53.05 101.62 101.67
53.00 101.55 101.61
52.95 101.48 101.54
52.90 101.42 101.47
52.85 101.36 101.41
52.80 101.29 101.35
52.75 101.24 101.28
52.70 101.16 101.23
ATAR Range
52.65 101.09 101.15
52.60 101.02 101.08
52.55 100.97 101.01
52.50 100.91 100.96
52.45 100.85 100.90
52.40 100.79 100.84
52.35 100.74 100.78
52.30 100.66 100.73
52.25 100.61 100.65
52.20 100.55 100.60
52.15 100.48 100.54
52.10 100.42 100.47
52.05 100.33 100.41
52.00 100.28 100.32
51.95 100.22 100.27
51.90 100.16 100.21
51.85 100.10 100.15
51.80 100.05 100.09
51.75 100.00 100.04
51.70 99.93 99.99
51.65 99.90 99.92
51.60 99.84 99.89
51.55 99.79 99.83
51.50 99.74 99.78
51.45 99.68 99.73
51.40 99.61 99.67
51.35 99.55 99.60
51.30 99.48 99.54
51.25 99.42 99.47
51.20 99.36 99.41
51.15 99.30 99.35
51.10 99.24 99.29
51.05 99.17 99.23
51.00 99.12 99.16
ATAR Range
50.95 99.04 99.11
50.90 98.96 99.03
50.85 98.90 98.95
50.80 98.82 98.89
50.75 98.77 98.81
50.70 98.72 98.76
50.65 98.64 98.71
50.60 98.59 98.63
50.55 98.54 98.58
50.50 98.47 98.53
50.45 98.41 98.46
50.40 98.35 98.40
50.35 98.28 98.34
50.30 98.22 98.27
50.25 98.15 98.21
50.20 98.09 98.14
50.15 98.03 98.08
50.10 97.97 98.02
50.05 97.90 97.96
50.00 97.83 97.89
49.95 97.78 97.82
49.90 97.72 97.77
49.85 97.65 97.71
49.80 97.60 97.64
49.75 97.54 97.59
49.70 97.47 97.53
49.65 97.41 97.46
49.60 97.35 97.40
49.55 97.29 97.34
49.50 97.21 97.28
49.45 97.14 97.20
49.40 97.08 97.13
49.35 97.03 97.07
49.30 96.98 97.02
Victorian Tertiary Admissions Centre
2019 Aggregate to ATAR Table
12 December 2019
Page 11 of 14
ATAR Range
49.25 96.92 96.97
49.20 96.84 96.91
49.15 96.78 96.83
49.10 96.73 96.77
49.05 96.66 96.72
49.00 96.56 96.65
48.95 96.48 96.55
48.90 96.42 96.47
48.85 96.35 96.41
48.80 96.29 96.34
48.75 96.21 96.28
48.70 96.15 96.20
48.65 96.07 96.14
48.60 96.01 96.06
48.55 95.97 96.00
48.50 95.89 95.96
48.45 95.82 95.88
48.40 95.76 95.81
48.35 95.71 95.75
48.30 95.65 95.70
48.25 95.60 95.64
48.20 95.57 95.59
48.15 95.52 95.56
48.10 95.45 95.51
48.05 95.38 95.44
48.00 95.33 95.37
47.95 95.25 95.32
47.90 95.19 95.24
47.85 95.13 95.18
47.80 95.06 95.12
47.75 95.00 95.05
47.70 94.95 94.99
47.65 94.86 94.94
47.60 94.77 94.85
ATAR Range
47.55 94.70 94.76
47.50 94.64 94.69
47.45 94.57 94.63
47.40 94.50 94.56
47.35 94.43 94.49
47.30 94.37 94.42
47.25 94.30 94.36
47.20 94.24 94.29
47.15 94.17 94.23
47.10 94.11 94.16
47.05 94.03 94.10
47.00 93.98 94.02
46.95 93.91 93.97
46.90 93.86 93.90
46.85 93.80 93.85
46.80 93.74 93.79
46.75 93.67 93.73
46.70 93.62 93.66
46.65 93.56 93.61
46.60 93.50 93.55
46.55 93.42 93.49
46.50 93.36 93.41
46.45 93.29 93.35
46.40 93.21 93.28
46.35 93.13 93.20
46.30 93.07 93.12
46.25 93.00 93.06
46.20 92.93 92.99
46.15 92.84 92.92
46.10 92.79 92.83
46.05 92.74 92.78
46.00 92.67 92.73
45.95 92.62 92.66
45.90 92.55 92.61
ATAR Range
45.85 92.47 92.54
45.80 92.39 92.46
45.75 92.32 92.38
45.70 92.25 92.31
45.65 92.19 92.24
45.60 92.13 92.18
45.55 92.08 92.12
45.50 92.02 92.07
45.45 91.93 92.01
45.40 91.87 91.92
45.35 91.78 91.86
45.30 91.72 91.77
45.25 91.67 91.71
45.20 91.61 91.66
45.15 91.56 91.60
45.10 91.51 91.55
45.05 91.46 91.50
45.00 91.38 91.45
44.95 91.32 91.37
44.90 91.22 91.31
44.85 91.15 91.21
44.80 91.09 91.14
44.75 91.02 91.08
